[ 2025-01-22 23:19:58,144 ] 16 root - INFO - Initiate the data ingestion
[ 2025-01-22 23:20:00,726 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-22 23:20:00,726 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-22 23:20:00,727 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-22 23:20:00,789 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-22 23:20:00,790 ] 18 root - INFO - Data Initiation Completed
[ 2025-01-22 23:20:00,799 ] 23 root - INFO - Initiate the data Validation
[ 2025-01-22 23:20:00,821 ] 32 root - INFO - Required number of columns:2
[ 2025-01-22 23:20:00,821 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-22 23:20:00,828 ] 32 root - INFO - Required number of columns:2
[ 2025-01-22 23:20:00,828 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-22 23:20:00,983 ] 25 root - INFO - data validation completed
[ 2025-01-22 23:20:00,983 ] 29 root - INFO - data transformation started
[ 2025-01-22 23:20:00,983 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-22 23:20:00,983 ] 66 root - INFO - Starting data transformation
[ 2025-01-22 23:20:01,010 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-22 23:20:01,010 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-22 23:20:01,025 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-22 23:20:01,027 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-22 23:20:01,027 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-22 23:20:01,030 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-22 23:20:01,033 ] 33 root - INFO - data Transformation completed
[ 2025-01-22 23:20:01,033 ] 35 root - INFO - Model Training sstared
[ 2025-01-22 23:24:56,259 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-22 23:24:56,259 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-22 23:24:56,259 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-22 23:24:56,309 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-22 23:24:56,309 ] 153 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_22_2025_23_19_54\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9918831168831169, precision_score=0.9898744430943702, recall_score=0.9938999593330622), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9715658790548658, precision_score=0.9642289348171701, recall_score=0.9790153349475383))
[ 2025-01-22 23:24:56,312 ] 40 root - INFO - Model Training artifact created
