[ 2025-01-22 23:04:25,738 ] 16 root - INFO - Initiate the data ingestion
[ 2025-01-22 23:04:28,322 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-22 23:04:28,322 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-22 23:04:28,323 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-22 23:04:28,399 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-22 23:04:28,399 ] 18 root - INFO - Data Initiation Completed
[ 2025-01-22 23:04:28,410 ] 23 root - INFO - Initiate the data Validation
[ 2025-01-22 23:04:28,446 ] 32 root - INFO - Required number of columns:2
[ 2025-01-22 23:04:28,446 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-22 23:04:28,447 ] 32 root - INFO - Required number of columns:2
[ 2025-01-22 23:04:28,447 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-22 23:04:28,621 ] 25 root - INFO - data validation completed
[ 2025-01-22 23:04:28,622 ] 29 root - INFO - data transformation started
[ 2025-01-22 23:04:28,622 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-22 23:04:28,622 ] 66 root - INFO - Starting data transformation
[ 2025-01-22 23:04:28,647 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-22 23:04:28,647 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-22 23:04:28,665 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-22 23:04:28,669 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-22 23:04:28,669 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-22 23:04:28,671 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-22 23:04:28,673 ] 33 root - INFO - data Transformation completed
[ 2025-01-22 23:04:28,674 ] 35 root - INFO - Model Training sstared
[ 2025-01-22 23:09:12,023 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-22 23:09:12,024 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-22 23:09:12,024 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-22 23:09:12,045 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-22 23:09:12,045 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_22_2025_23_04_24\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912761209170217, precision_score=0.9896698399837959, recall_score=0.9928876244665719), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9814814814814815, precision_score=0.9767628205128205, recall_score=0.9862459546925566))
[ 2025-01-22 23:09:12,048 ] 40 root - INFO - Model Training artifact created
